Country,iso,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max
Myanmar,MMR,1.6017274971357052,0.9339969019624699,0.5313483576591197,1.521575259946549,0.7544866483741667,2.445621194545221,-1.4520934726762957,7.344102974961612
Montenegro,MNE,-0.021894714073086487,0.024252636728229075,-0.41203823074901585,-0.02094532920238134,-0.04337570459019331,0.0008453906737715167,-0.21963393351924845,0.08546498890053095
Mongolia,MNG,-0.9665731387767481,0.5484308401214717,-1.5796243438901634,-0.8864081042782339,-1.4051292271811142,-0.5031181860056863,-10.586101559816482,0.4309432262058715
Mozambique,MOZ,2.9902626133138224,1.688613353169534,0.3540439272253711,2.897959663718879,1.441132315547267,4.530959966512275,-3.0511390433441337,13.115054639269953
Mauritania,MRT,0.6731808401685637,0.34622526115752844,0.26745894929890746,0.654945731674681,0.35757316142609696,0.9942190649035473,-0.5448667698916749,2.457026661826591
Mauritius,MUS,0.1924488157654331,0.1176127946389169,0.5825390886874966,0.18212766146894527,0.08538623394834684,0.2980962739047584,-0.1897461106572886,0.9685842520775534
Malawi,MWI,2.6473797690778977,1.572918174172284,0.365892852836757,2.56102698381995,1.2013356142379934,4.081348680957253,-3.1331768779923523,12.200181336212111
Malaysia,MYS,8.261166764035066,4.734209704292179,0.46700841581586017,7.907624596959208,3.933102800516583,12.56605416690732,-7.339090917677511,37.1409712166548
Namibia,NAM,0.3447762541560182,0.2136268676814538,0.3424432909049883,0.33445914106500785,0.14592444345654196,0.5408773383609565,-0.3849383940355056,1.5510212655466662
New Caledonia,NCL,0.0383767963326798,0.026100456186162,0.5721756330667624,0.03611486153260629,0.014302960222758813,0.06194327687841225,-0.04435399235218246,0.2072536068584068
Niger,NER,4.75802256402213,2.3890792756295696,0.20856638198651103,4.6524864986762,2.5945841990313783,6.9635585944616984,-4.345923939723374,16.18317111913505
Nigeria,NGA,50.82572172453782,27.623537949531624,0.39150635951103135,48.91845522492697,25.77150584448216,76.02876821281808,-49.53813751215629,206.5757770956606
Nicaragua,NIC,0.641301055642023,0.35593103952622845,0.394983762660682,0.6160745744334548,0.3161722299459055,0.9678489342917452,-0.5419527301022752,2.6240719922075804
Netherlands,NLD,-1.1902116907268776,1.5145584900922993,-0.3285147673570136,-1.1410011446234338,-2.5299388505464675,0.19401315403948582,-12.22306943573663,5.880595150474056
Norway,NOR,-1.5982814879979192,1.0272593598702215,-0.91716716408356,-1.495166493847283,-2.4913968718722126,-0.688454830805408,-14.219470727410595,1.8248413200196898
Nepal,NPL,2.0708101311722227,1.3366471820737553,0.482649760837466,1.9704339904188617,0.8458269822918019,3.2830587925399075,-2.585535137274358,9.904277334950162
New Zealand,NZL,0.022916445664610863,0.3478644681828977,0.23234886823868994,0.018269227957361776,-0.3082037094312979,0.3368470245083594,-1.8541071385365737,2.463585288303408
Oman,OMN,1.6194745988515717,0.8848223092888434,0.346615767262876,1.5669226564064334,0.8107276486953099,2.430838304747253,-1.4681669204346484,6.712486305909025
Pakistan,PAK,24.67921068250252,13.935450000350821,0.25438609492202624,24.083649083894212,11.790921561790705,37.5742499667514,-25.938788840426113,95.49243601037603
Panama,PAN,1.0399367364038448,0.6090555401848556,0.548696890906213,0.9852733256528659,0.48717039295859016,1.5900745367684257,-0.9694609622812865,4.987565996751871
Peru,PER,2.1208735291065755,2.257879244994721,0.4799411138735556,1.976567115509626,-0.040406069200334516,4.17206574773447,-6.173744846377813,16.47781754110028
Philippines,PHL,11.349899476535645,6.549516746696266,0.5302349041707612,10.783668369510108,5.412808573221311,17.264908139903504,-10.332856187290846,51.58373611863336
Papua New Guinea,PNG,0.7244534434042351,0.47543988985324503,0.5960228952517771,0.680648540120772,0.29081888480481016,1.1517791793744172,-0.8616748235031334,3.766257549690709
Poland,POL,-2.181833878470939,2.2883831900641765,-0.4108313624349267,-2.0883585405340996,-4.22845973233738,-0.022009204650210074,-20.162191608109428,7.5685623759512035
Portugal,PRT,0.5267365359166484,0.6709627338065929,0.7077190382546132,0.47654208056062963,-0.1023265565037065,1.1006975011228304,-2.3971502441706796,6.09557516692667
Paraguay,PRY,1.056585811530888,0.7323533107435831,0.6998181689154434,0.9536224426905395,0.38891636794936973,1.736137597747662,-1.3492241954565078,5.433135807879942
Qatar,QAT,2.9853936099915295,1.6221175751341006,0.3639293106400578,2.8761144374528618,1.5023895639229816,4.4854340900232765,-2.649627665349892,11.771092714697454
Romania,ROU,-0.47781053951497204,0.8366198280295213,-0.18262514483337294,-0.46709415867012194,-1.235989074590902,0.29830471177331297,-6.017269652552109,3.496415388303192
Russia,RUS,-23.197439890616547,14.492734916715682,-0.9309265481974573,-21.73765255602197,-35.76313859795337,-10.33269121688075,-188.25705174624053,21.565090255507222
Rwanda,RWA,1.1045249526611205,0.7291876111661892,0.40322807033878205,1.061310919231111,0.4255052294358697,1.7692216128716032,-1.3516327413152196,5.355095452935074
Saudi Arabia,SAU,15.255653810241911,8.0956428747496,0.2344704427593207,14.922256698814746,7.8167870800812675,22.730282184980883,-13.378522430794975,58.051704620776114
Sudan,SDN,10.632770945013991,5.4977080331733665,0.2749838249588646,10.341539137827128,5.6315419538818166,15.700077664120027,-9.705121283641526,39.207760166094296
Senegal,SEN,1.9722537421044382,1.1174859989665884,0.4643317368699979,1.8770460311372474,0.944642604463106,3.008554849907809,-1.8182107319505016,8.400390985407727
Solomon Islands,SLB,0.06743245170950002,0.039001184773871364,0.5940448698129722,0.0633983320092474,0.0322892848120083,0.10270216425605408,-0.061554148606729274,0.31029529444888454
Sierra Leone,SLE,0.6601904692190669,0.3773083619836056,0.5044806153976976,0.6260487778490547,0.31701512622912575,1.0057513726402676,-0.6204690521939122,2.7937213125532816
El Salvador,SLV,0.44105779942400253,0.2682655943313662,0.39949512955316174,0.4241281984118046,0.19247657094947299,0.6865370766767669,-0.4358223631171805,1.9660906901857609
Somaliland,SOM,0.09453373345501949,0.05165465027407069,0.4527292793391844,0.09058072404931747,0.04804339919033963,0.14117027491758283,-0.09323422858113517,0.3936870671403389
Republic of Serbia,SRB,-0.1513766865136875,0.25086109674065427,-0.22076889861958138,-0.14770756254415918,-0.3778938345404019,0.08123152771953657,-1.8493881346421492,1.0269534324928915
São Tomé and Principe,STP,0.024181046335239473,0.013871789981875535,0.46649722032388397,0.023078548261729056,0.011494302645843682,0.03684774749141902,-0.020366298173472026,0.10512454660882221
Suriname,SUR,0.10153018791304912,0.055336666361593886,0.3975080539321127,0.09799662061501954,0.05109373768905887,0.15197773857954192,-0.08976064746232133,0.42974622200322193
Slovakia,SVK,-0.41254441733872077,0.4454905272419765,-0.42505395320685957,-0.3937083143738116,-0.8108980442092663,0.004127906937875015,-3.9798768093520223,1.4501120228280537
Slovenia,SVN,-0.15422694256193506,0.17535789083171419,-0.4096943034323696,-0.14748842511314736,-0.31093110808191937,0.00967308370869201,-1.5554967865829001,0.5752059003378421
Sweden,SWE,-2.3747840048410285,1.6265251548062196,-0.8200365955165791,-2.2260844465061984,-3.800592262661941,-0.9184003589601627,-20.86525067117812,3.1783365178480167
eSwatini,SWZ,0.09260616414285773,0.06267194489963598,0.420522252861084,0.08909898569909665,0.034144741217010326,0.14960714223699456,-0.11933271293726316,0.47690387787416455
Syria,SYR,2.680049219048655,2.104391216976369,0.3902524857024876,2.5776509144820174,0.691317682629021,4.6082156699500585,-4.4415706463987,15.08085679605889
